replicate,delta_C
1,0.00649350649350644
2,0.006249999999999978
3,-0.0031847133757961776
4,0.05769230769230771
5,-0.03289473684210531
6,-0.07692307692307698
7,-0.015527950310559091
8,-0.06730769230769229
9,0.08666666666666656
10,-0.08724832214765099
11,-0.036423841059602724
12,-0.0741935483870968
13,-0.053797468354430444
14,0.047770700636942776
15,-0.009493670886076
16,-0.10000000000000003
17,0.016778523489932917
18,-0.06209150326797386
19,-0.09294871794871795
20,0.0031250000000000444
21,-0.03378378378378377
22,-0.04901960784313719
23,-0.02795031055900621
24,-0.01449275362318836
25,-0.043749999999999956
26,0.012820512820512886
27,0.05921052631578949
28,-0.039735099337748325
29,-0.09235668789808915
30,-0.046052631578947456
31,-0.05161290322580647
32,-0.14137931034482754
33,-0.012658227848101333
34,0.048387096774193505
35,-0.02515723270440251
36,-0.10967741935483877
37,-0.03437499999999993
38,-0.19281045751633985
39,-0.0273972602739726
40,0.022012578616352196
41,-0.16666666666666663
42,-0.10967741935483877
43,-0.05660377358490565
44,-0.056291390728476776
45,-0.019230769230769162
46,-0.07947019867549665
47,0.09459459459459463
48,-0.07142857142857145
49,-0.03164556962025311
50,-0.06329113924050633
51,-0.120253164556962
52,-0.08881578947368418
53,-0.04109589041095896
54,-0.019736842105263164
55,-0.038961038961038974
56,-0.06603773584905659
57,-0.046875
58,-0.13125000000000003
59,-0.03289473684210531
60,-0.03548387096774197
61,-0.16883116883116883
62,-0.023333333333333317
63,-0.03416149068322982
64,0.0839160839160839
65,-0.10738255033557043
66,0.01552795031055898
67,-0.0714285714285714
68,-0.06493506493506496
69,-0.03749999999999998
70,-0.033333333333333326
71,-0.07432432432432434
72,-0.08116883116883122
73,-0.053797468354430444
74,0.04870129870129869
75,-0.09433962264150941
76,-0.09810126582278478
77,-0.025316455696202556
78,-0.04054054054054046
79,-0.0064102564102563875
80,0.025000000000000022
81,-0.07746478873239426
82,-0.028368794326241176
83,-0.046052631578947345
84,-0.04870129870129869
85,-0.06711409395973156
86,-0.05095541401273884
87,0.006172839506172756
88,0.0031055900621117516
89,-0.019736842105263164
90,-0.12111801242236025
91,-0.09375
92,-0.06535947712418311
93,-0.09235668789808915
94,-0.08024691358024683
95,0.024193548387096753
96,-0.03819444444444453
97,0.10624999999999996
98,-0.12420382165605093
99,-0.10402684563758391
100,-0.0683453237410071
101,-0.04901960784313719
102,-0.021604938271604923
103,-0.03472222222222221
104,0.1333333333333333
105,-0.03749999999999998
106,-0.05228758169934644
107,-0.14285714285714285
108,-0.06562500000000004
109,-0.08385093167701863
110,0.010067114093959662
111,-0.10264900662251653
112,-0.1481481481481482
113,-0.04807692307692302
114,-0.07006369426751591
115,0.04081632653061218
116,-0.020000000000000018
117,-0.05414012738853502
118,0.04225352112676062
119,0.0
120,-0.08227848101265822
121,-0.04081632653061229
122,-0.07971014492753625
123,0.040540540540540515
124,-0.0031250000000000444
125,-0.08490566037735847
126,0.025547445255474477
127,-0.04402515723270439
128,0.04421768707482987
129,-0.06293706293706292
130,-0.01724137931034475
131,0.060509554140127375
132,-0.015923566878980888
133,-0.15806451612903227
134,-0.026490066225165476
135,0.01898734177215189
136,-0.07547169811320753
137,-0.02795031055900621
138,-0.037735849056603765
139,-0.05312500000000009
140,-0.08441558441558439
141,-0.10256410256410253
142,-0.05414012738853502
143,0.025316455696202445
144,-0.0031847133757961776
145,0.013157894736842146
146,-0.027210884353741527
147,-0.102112676056338
148,0.0066225165562914245
149,-0.08273381294964033
150,0.006756756756756799
151,-0.012658227848101222
152,-0.0490196078431373
153,-0.09375
154,-0.00967741935483879
155,-0.07894736842105265
156,-0.06907894736842102
157,-0.11875000000000002
158,-0.0033333333333332993
159,-0.02515723270440251
160,-0.054744525547445244
161,-0.0905797101449275
162,-0.03618421052631571
163,-0.05136986301369861
164,-0.1823899371069182
165,0.021739130434782594
166,-0.0547945205479452
167,0.03797468354430389
168,0.08176100628930816
169,-0.0547945205479452
170,-0.009554140127388533
171,0.0
172,0.024691358024691357
173,-0.04054054054054046
174,0.048387096774193505
175,-0.0816993464052288
176,-0.02941176470588236
177,-0.003225806451612967
178,-0.06375838926174504
179,0.03125
180,-0.05660377358490565
181,-0.09354838709677427
182,-0.12416107382550334
183,-0.0032679738562091387
184,-0.052816901408450634
185,-0.13375796178343946
186,-0.05862068965517242
187,-0.0031645569620253333
188,-0.019230769230769162
189,-0.06687898089171973
190,0.03311258278145701
191,-0.14240506329113922
192,-0.0490196078431373
193,-0.01736111111111105
194,-0.08503401360544216
195,0.021739130434782594
196,-0.03594771241830075
197,-0.06962025316455689
198,0.15384615384615374
199,-0.03144654088050314
200,0.012820512820512886
201,-0.05999999999999994
202,-0.04807692307692313
203,-0.0034965034965035446
204,-0.0030674846625766694
205,-0.03870967741935483
206,-0.11935483870967745
207,-0.08176100628930816
208,-0.09810126582278478
209,-0.03246753246753242
210,-0.046052631578947345
211,-0.09740259740259738
212,-0.043749999999999956
213,-0.09687499999999999
214,-0.05696202531645567
215,-0.053333333333333344
216,-0.015822784810126556
217,0.06687898089171973
218,-0.06687898089171973
219,0.010067114093959773
220,-0.025316455696202445
221,-0.0625
222,-0.1490683229813664
223,0.02980132450331119
224,-0.07911392405063289
225,-0.08041958041958042
226,-0.10130718954248374
227,-0.07861635220125784
228,-0.15384615384615385
229,-0.04575163398692805
230,-0.0357142857142857
231,-0.047169811320754707
232,-0.06451612903225812
233,-0.06645569620253167
234,0.02980132450331119
235,-0.016778523489932917
236,-0.012658227848101222
237,-0.1143790849673203
238,-0.07718120805369122
239,-0.05483870967741944
240,-0.03237410071942448
241,-0.07692307692307687
242,-0.046052631578947345
243,0.003597122302158251
244,0.015625
245,-0.16883116883116883
246,-0.05960264900662249
247,-0.07692307692307698
248,-0.046052631578947456
249,-0.08053691275167785
250,-0.01898734177215189
